#STATE  ENERGY(cm^{-1})  SPIN
 
       1:  -4965.486742   1.00
       2:  -4757.135748   3.00
       3:  -4757.135748   3.00
       4:  -4757.135748   3.00
       5:  -4340.321153   5.00
       6:  -4340.321153   5.00
       7:  -4340.321153   5.00
       8:  -4340.321153   5.00
       9:  -4340.321153   5.00
      10:  -4257.965751   3.00
      11:  -4257.965751   3.00
      12:  -4257.965751   3.00
      13:  -4213.594699   3.00
      14:  -4213.594699   3.00
      15:  -4213.594699   3.00
      16:  -3924.885826   1.00
      17:  -3842.052299   5.00
      18:  -3842.052299   5.00
      19:  -3842.052299   5.00
      20:  -3842.052299   5.00
      21:  -3842.052299   5.00
      22:  -3796.957155   5.00
      23:  -3796.957155   5.00
      24:  -3796.957155   5.00
      25:  -3796.957155   5.00
      26:  -3796.957155   5.00
      27:  -3716.841715   3.00
      28:  -3716.841715   3.00
      29:  -3716.841715   3.00
      30:  -3714.820760   7.00
      31:  -3714.820760   7.00
      32:  -3714.820760   7.00
      33:  -3714.820760   7.00
      34:  -3714.820760   7.00
      35:  -3714.820760   7.00
      36:  -3714.820760   7.00
      37:  -3438.720627   5.00
      38:  -3438.720627   5.00
      39:  -3438.720627   5.00
      40:  -3438.720627   5.00
      41:  -3438.720627   5.00
      42:  -3359.924850   5.00
      43:  -3359.924850   5.00
      44:  -3359.924850   5.00
      45:  -3359.924850   5.00
      46:  -3359.924850   5.00
      47:  -3316.800413   3.00
      48:  -3316.800413   3.00
      49:  -3316.800413   3.00
      50:  -3300.285837   5.00
      51:  -3300.285837   5.00
      52:  -3300.285837   5.00
      53:  -3300.285837   5.00
      54:  -3300.285837   5.00
      55:  -3281.874400   3.00
      56:  -3281.874400   3.00
      57:  -3281.874400   3.00
      58:  -3217.784343   7.00
      59:  -3217.784343   7.00
      60:  -3217.784343   7.00
      61:  -3217.784343   7.00
      62:  -3217.784343   7.00
      63:  -3217.784343   7.00
      64:  -3217.784343   7.00
      65:  -3171.427794   7.00
      66:  -3171.427794   7.00
      67:  -3171.427794   7.00
      68:  -3171.427794   7.00
      69:  -3171.427794   7.00
      70:  -3171.427794   7.00
      71:  -3171.427794   7.00
      72:  -3093.358251   1.00
      73:  -2902.735142   5.00
      74:  -2902.735142   5.00
      75:  -2902.735142   5.00
      76:  -2902.735142   5.00
      77:  -2902.735142   5.00
      78:  -2885.639482   3.00
      79:  -2885.639482   3.00
      80:  -2885.639482   3.00
      81:  -2880.309139   9.00
      82:  -2880.309139   9.00
      83:  -2880.309139   9.00
      84:  -2880.309139   9.00
      85:  -2880.309139   9.00
      86:  -2880.309139   9.00
      87:  -2880.309139   9.00
      88:  -2880.309139   9.00
      89:  -2880.309139   9.00
      90:  -2865.086520   5.00
      91:  -2865.086520   5.00
      92:  -2865.086520   5.00
      93:  -2865.086520   5.00
      94:  -2865.086520   5.00
      95:  -2818.035095   7.00
      96:  -2818.035095   7.00
      97:  -2818.035095   7.00
      98:  -2818.035095   7.00
      99:  -2818.035095   7.00
     100:  -2818.035095   7.00
     101:  -2818.035095   7.00
     102:  -2736.853119   7.00
     103:  -2736.853119   7.00
     104:  -2736.853119   7.00
     105:  -2736.853119   7.00
     106:  -2736.853119   7.00
     107:  -2736.853119   7.00
     108:  -2736.853119   7.00
     109:  -2674.331438   7.00
     110:  -2674.331438   7.00
     111:  -2674.331438   7.00
     112:  -2674.331438   7.00
     113:  -2674.331438   7.00
     114:  -2674.331438   7.00
     115:  -2674.331438   7.00
     116:  -2595.489361   5.00
     117:  -2595.489361   5.00
     118:  -2595.489361   5.00
     119:  -2595.489361   5.00
     120:  -2595.489361   5.00
     121:  -2585.222047   3.00
     122:  -2585.222047   3.00
     123:  -2585.222047   3.00
     124:  -2558.765174   3.00
     125:  -2558.765174   3.00
     126:  -2558.765174   3.00
     127:  -2536.689115   5.00
     128:  -2536.689115   5.00
     129:  -2536.689115   5.00
     130:  -2536.689115   5.00
     131:  -2536.689115   5.00
     132:  -2504.698135   7.00
     133:  -2504.698135   7.00
     134:  -2504.698135   7.00
     135:  -2504.698135   7.00
     136:  -2504.698135   7.00
     137:  -2504.698135   7.00
     138:  -2504.698135   7.00
     139:  -2472.953620   1.00
     140:  -2468.135395   5.00
     141:  -2468.135395   5.00
     142:  -2468.135395   5.00
     143:  -2468.135395   5.00
     144:  -2468.135395   5.00
     145:  -2402.625468   7.00
     146:  -2402.625468   7.00
     147:  -2402.625468   7.00
     148:  -2402.625468   7.00
     149:  -2402.625468   7.00
     150:  -2402.625468   7.00
     151:  -2402.625468   7.00
     152:  -2384.677511   9.00
     153:  -2384.677511   9.00
     154:  -2384.677511   9.00
     155:  -2384.677511   9.00
     156:  -2384.677511   9.00
     157:  -2384.677511   9.00
     158:  -2384.677511   9.00
     159:  -2384.677511   9.00
     160:  -2384.677511   9.00
     161:  -2336.356910   9.00
     162:  -2336.356910   9.00
     163:  -2336.356910   9.00
     164:  -2336.356910   9.00
     165:  -2336.356910   9.00
     166:  -2336.356910   9.00
     167:  -2336.356910   9.00
     168:  -2336.356910   9.00
     169:  -2336.356910   9.00
     170:  -2281.063817   7.00
     171:  -2281.063817   7.00
     172:  -2281.063817   7.00
     173:  -2281.063817   7.00
     174:  -2281.063817   7.00
     175:  -2281.063817   7.00
     176:  -2281.063817   7.00
     177:  -2263.667874   3.00
     178:  -2263.667874   3.00
     179:  -2263.667874   3.00
     180:  -2237.281273   7.00
     181:  -2237.281273   7.00
     182:  -2237.281273   7.00
     183:  -2237.281273   7.00
     184:  -2237.281273   7.00
     185:  -2237.281273   7.00
     186:  -2237.281273   7.00
     187:  -2176.768888   5.00
     188:  -2176.768888   5.00
     189:  -2176.768888   5.00
     190:  -2176.768888   5.00
     191:  -2176.768888   5.00
     192:  -2137.416915   5.00
     193:  -2137.416915   5.00
     194:  -2137.416915   5.00
     195:  -2137.416915   5.00
     196:  -2137.416915   5.00
     197:  -2073.879196   1.00
     198:  -2071.213982   3.00
     199:  -2071.213982   3.00
     200:  -2071.213982   3.00
     201:  -2037.481112   3.00
     202:  -2037.481112   3.00
     203:  -2037.481112   3.00
     204:  -1988.339038   9.00
     205:  -1988.339038   9.00
     206:  -1988.339038   9.00
     207:  -1988.339038   9.00
     208:  -1988.339038   9.00
     209:  -1988.339038   9.00
     210:  -1988.339038   9.00
     211:  -1988.339038   9.00
     212:  -1988.339038   9.00
     213:  -1981.780635   7.00
     214:  -1981.780635   7.00
     215:  -1981.780635   7.00
     216:  -1981.780635   7.00
     217:  -1981.780635   7.00
     218:  -1981.780635   7.00
     219:  -1981.780635   7.00
     220:  -1960.734975   5.00
     221:  -1960.734975   5.00
     222:  -1960.734975   5.00
     223:  -1960.734975   5.00
     224:  -1960.734975   5.00
     225:  -1923.348410   5.00
     226:  -1923.348410   5.00
     227:  -1923.348410   5.00
     228:  -1923.348410   5.00
     229:  -1923.348410   5.00
     230:  -1917.917840   7.00
     231:  -1917.917840   7.00
     232:  -1917.917840   7.00
     233:  -1917.917840   7.00
     234:  -1917.917840   7.00
     235:  -1917.917840   7.00
     236:  -1917.917840   7.00
     237:  -1904.901446   9.00
     238:  -1904.901446   9.00
     239:  -1904.901446   9.00
     240:  -1904.901446   9.00
     241:  -1904.901446   9.00
     242:  -1904.901446   9.00
     243:  -1904.901446   9.00
     244:  -1904.901446   9.00
     245:  -1904.901446   9.00
     246:  -1837.781907   9.00
     247:  -1837.781907   9.00
     248:  -1837.781907   9.00
     249:  -1837.781907   9.00
     250:  -1837.781907   9.00
     251:  -1837.781907   9.00
     252:  -1837.781907   9.00
     253:  -1837.781907   9.00
     254:  -1837.781907   9.00
     255:  -1837.639889   7.00
     256:  -1837.639889   7.00
     257:  -1837.639889   7.00
     258:  -1837.639889   7.00
     259:  -1837.639889   7.00
     260:  -1837.639889   7.00
     261:  -1837.639889   7.00
     262:  -1836.367846  11.00
     263:  -1836.367846  11.00
     264:  -1836.367846  11.00
     265:  -1836.367846  11.00
     266:  -1836.367846  11.00
     267:  -1836.367846  11.00
     268:  -1836.367846  11.00
     269:  -1836.367846  11.00
     270:  -1836.367846  11.00
     271:  -1836.367846  11.00
     272:  -1836.367846  11.00
     273:  -1835.529449   5.00
     274:  -1835.529449   5.00
     275:  -1835.529449   5.00
     276:  -1835.529449   5.00
     277:  -1835.529449   5.00
     278:  -1827.790423   3.00
     279:  -1827.790423   3.00
     280:  -1827.790423   3.00
     281:  -1792.045445   1.00
     282:  -1768.483730   3.00
     283:  -1768.483730   3.00
     284:  -1768.483730   3.00
     285:  -1754.032864   7.00
     286:  -1754.032864   7.00
     287:  -1754.032864   7.00
     288:  -1754.032864   7.00
     289:  -1754.032864   7.00
     290:  -1754.032864   7.00
     291:  -1754.032864   7.00
     292:  -1689.758589   9.00
     293:  -1689.758589   9.00
     294:  -1689.758589   9.00
     295:  -1689.758589   9.00
     296:  -1689.758589   9.00
     297:  -1689.758589   9.00
     298:  -1689.758589   9.00
     299:  -1689.758589   9.00
     300:  -1689.758589   9.00
     301:  -1684.444915   7.00
     302:  -1684.444915   7.00
     303:  -1684.444915   7.00
     304:  -1684.444915   7.00
     305:  -1684.444915   7.00
     306:  -1684.444915   7.00
     307:  -1684.444915   7.00
     308:  -1668.298059   5.00
     309:  -1668.298059   5.00
     310:  -1668.298059   5.00
     311:  -1668.298059   5.00
     312:  -1668.298059   5.00
     313:  -1646.530570   3.00
     314:  -1646.530570   3.00
     315:  -1646.530570   3.00
     316:  -1597.700954   5.00
     317:  -1597.700954   5.00
     318:  -1597.700954   5.00
     319:  -1597.700954   5.00
     320:  -1597.700954   5.00
     321:  -1578.692104   9.00
     322:  -1578.692104   9.00
     323:  -1578.692104   9.00
     324:  -1578.692104   9.00
     325:  -1578.692104   9.00
     326:  -1578.692104   9.00
     327:  -1578.692104   9.00
     328:  -1578.692104   9.00
     329:  -1578.692104   9.00
     330:  -1559.894680   7.00
     331:  -1559.894680   7.00
     332:  -1559.894680   7.00
     333:  -1559.894680   7.00
     334:  -1559.894680   7.00
     335:  -1559.894680   7.00
     336:  -1559.894680   7.00
     337:  -1546.340776   5.00
     338:  -1546.340776   5.00
     339:  -1546.340776   5.00
     340:  -1546.340776   5.00
     341:  -1546.340776   5.00
     342:  -1497.200876   7.00
     343:  -1497.200876   7.00
     344:  -1497.200876   7.00
     345:  -1497.200876   7.00
     346:  -1497.200876   7.00
     347:  -1497.200876   7.00
     348:  -1497.200876   7.00
     349:  -1495.160983   5.00
     350:  -1495.160983   5.00
     351:  -1495.160983   5.00
     352:  -1495.160983   5.00
     353:  -1495.160983   5.00
     354:  -1450.875046   9.00
     355:  -1450.875046   9.00
     356:  -1450.875046   9.00
     357:  -1450.875046   9.00
     358:  -1450.875046   9.00
     359:  -1450.875046   9.00
     360:  -1450.875046   9.00
     361:  -1450.875046   9.00
     362:  -1450.875046   9.00
